Assettype Quantity,Associatedgsp,Bulk supply point,Connectivity Voltage(kv),Constraint description,Constraint occurrence year,Constraint season,Current status,Customers served,Dnoa result,Dnoa result description,Dnoa result history 2023,Dnoa result history 2024,Dnoa result history 2025,Deviation,Deviation Percentage,ECR < 1MVA Accepted to connect,ECR < 1MVA Already connected,ECR > 1MVA Accepted to connect,ECR > 1MVA Already connected,Expectedcompletionyear,Expectedstartyear,Firm Capacity,Flexibility procurement 2024/25,Flexibility procurement 2025/26,Flexibility procurement 2026/27,Flexibility procurement 2027/28,Flexibility procurement 2028/29,Generation Capacity,Generation Headroom Mw,Grid supply point,Justification,Ltdsname,Site,Spare Summer,Spare Winter,Substation title,Substation Or Circuit,Total gen <1 (mw),Total gen >1 (mw),Total Ecr Capacity,Traditional solution,Transformer 1 Summer,Transformer 1 Winter,Transformer 2 Summer,Transformer 2 Winter,Transformer 3 Summer,Transformer 3 Winter,Transformer 4 Summer,Transformer 4 Winter,Transformer 5 Summer,Transformer 5 Winter,Transformer 6 Summer,Transformer 6 Winter,Transformer 7 Summer,Transformer 7 Winter,Transformer 8 Summer,Transformer 8 Winter,Type,Assessment Date,Asset Export Limit,Asset Import Limit,Calculated Resistance,County,Date Commissioned,Easting,Grid Reference,Installed Capacity MVA,Last Report,Licence Area,Local Authority,Local Authority Code,Max Demand Summer,Max Demand Winter,Maximum Observed Power Flow,Measured Resistance (Ohm),Minimum Observed Power Flow,Next Assessment Date,Northing,Postcode,Power Transformer Count,Reverse Power,Site Classification,Site Functional Location,Site Name,Site Type,Site Voltage,Spatial Coordinates,Street,Suburb,Technical Limit Export,Technical Limit Import Access Period,Technical Limit Import Summer,Technical Limit Import Winter,Town City,Transformer Rating Summer,Transformer Rating Winter,What3Words
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,43.2,,,,,,15.0,15.0,,,,,18.82,22.18,,,0.0,0.0,0.0,,15.0,20.0,15.0,20.0,15.0,20.0,15.0,20.0,,,,,,,,,,2017-10-16,0.0,0.0,1.90Ω 0.00Deg,Greater London,1957-04-01,529556,TQ2955675265,0.0,ESL1993024-R01,London Power Networks (LPN),Lambeth,E09000022,25.4,36.9,0.0,0.03,0.0,2031-11-26,175265,SW4 7EE,4,100%,COLD,LPN-S000000000914,CLAPHAM PARK RD,Primary Substation,33,"51.4615405357285, -0.13648290441052",CLAPHAM PK RD MSS CLAPHAM PARK ROAD,CLAPHAM COMMON,0.0,0.0,0.0,0.0,CLAPHAM,"15, 15, 15, 15","20, 20, 20, 20",singer.energy.town
Switchboard and transformer reinforcement,New Cross 66kV,,66/11,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,2027,2018,42.24,,,,,,11.0,11.0,,Load related reinforcement,Verney Road 11kV,,1.34,-3.94,,Verney Road,0.0,0.0,0.0,,22.0,29.0,22.0,29.0,22.0,29.0,,,,,,,,,,,,2022-03-30,0.0,0.0,0.11Ω 0.00Deg,Greater London,1967-04-01,534480,TQ34487795,0.0,ELP04476-R01,London Power Networks (LPN),Southwark,E09000028,42.6,62.1,0.0,\N,0.0,2025-11-26,177950,SE16 3DH,3,<100%,COLD,LPN-S000000000988,VERNEY RD,Primary Substation,66,"51.4845215815859, -0.0646255603318666",VERNEY ROAD MSS VERNEY ROAD,SOUTH BERMONDSEY,0.0,0.0,0.0,0.0,ROTHERHITHE  SOUTH BERMONSEY,"22, 22, 22, 22","29, 29, 29, 29",zooms.teams.quit
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,28.8,,,,,,30.0,30.0,,,,,13.63,15.46,,,0.0,0.0,0.0,,30.0,39.0,30.0,39.0,,,,,,,,,,,,,,2006-05-12,0.0,0.0,0.03Ω 0.00Deg,Greater London,1956-04-01,521046,TQ2104676017,0.0,S0577/EM-06-014,London Power Networks (LPN),Richmond upon Thames,E09000027,15.8,22.9,0.0,0.04,0.0,2026-11-26,176017,SW14 8HQ,2,100%,COLD,LPN-S000000001008,BARNES B 6.6KV,Grid Substation,66,"51.4701811475145, -0.258660815801242",MORTLAKE HIGH STREET,MORTLAKE,0.0,0.0,0.0,0.0,\N,"30, 30","39, 39",logic.vanish.select
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,43.2,,,,,,15.0,15.0,,,,,9.7,11.23,,,0.0,0.0,0.0,,15.0,20.0,15.0,20.0,15.0,20.0,15.0,20.0,,,,,,,,,,2017-10-04,0.0,0.0,0.31Ω 0.00Deg,Greater London,1964-04-01,526013,TQ2601369458,0.0,ESL1993017-R01,London Power Networks (LPN),Merton,E09000024,34.9,48.3,0.0,0.05,0.0,2031-11-26,169458,SW19 3TZ,4,100%,COLD,LPN-S000000001059,MERTON,Primary Substation,33,"51.4101517646396, -0.189519772997844",MERTON MSS LOMBARD ROAD,MERTON,0.0,0.0,0.0,0.0,WIMBLEDON  MERTON,"15, 15, 15, 15","20, 20, 20, 20",lucky.feel.enjoyable
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,172.8,,,,,,60.0,60.0,,,,,104.64,134.02,,,0.0,0.0,0.0,,60.0,78.0,60.0,78.0,60.0,78.0,60.0,78.0,,,,,,,,,,2019-02-26,0.0,0.0,0.14Ω 0.00Deg,Hertfordshire,1952-04-01,535803,TQ3580386260,0.0,ELP055508-R01,London Power Networks (LPN),Hackney,E09000012,71,94.4,0.0,0.06,0.0,2027-11-26,186260,E5 0BY,4,100%,HOT,LPN-S000000003436,HACKNEY GRID 66KV,Grid Substation,132,"51.558880955487, -0.0423838561875229",HACKNEY GRID CAP SS MILL FIELDS ROAD,HACKNEY,0.0,0.0,0.0,0.0,CHESHUNT,"60, 60, 60, 60","78, 78, 78, 78",cone.bucked.puzzle
,,Addington Grid 33kV,,,,,,,,,,,,No,0.0,0.2304,0.576,0.0,0.0,,,19.2,,,,,,20.0,19.1936,Beddington SGT,,,,8.26,7.58,,,0.8064,0.0,0.8064,,20.0,24.0,20.0,24.0,,,,,,,,,,,,,,2022-01-28,480.0,720.0,2.70Ω 0.00Deg,Surrey,1952-04-01,537085,TQ3708563862,0.0,ELP07262002-R01,South Eastern Power Networks (SPN),Croydon,E09000008,11.4,16.1,403.34,0.11,121.64,2038-11-26,163862,CR0 5AR,2,100%,COLD,SPN-S000000008301,ADDINGTON LOCAL,Primary Substation,33,"51.3572982107756, -0.0325765679817731",KENT GATE WAY,\N,0.0,0.0,0.0,0.0,ADDINGTON,"20, 20","24, 24",rods.chat.noses
,,Betteshanger Grid 33kV,,,,,,,,,,,,No,0.0,0.0,0.4198848,0.0,0.0,,,17.28,,,,,,18.0,17.5801152,Sellindge SGT2 & 3 & Richborough SGT,,,,8.45,11.04,,,0.4198848,0.0,0.4198848,,18.0,24.0,18.0,24.0,,,,,,,,,,,,,,2010-06-02,240.0,240.0,NA,Kent,1932-04-01,633547,TR3354752991,0.0,P-10-696-16,South Eastern Power Networks (SPN),Dover,E07000108,9.2,12.5,175.86,0.1,62.19,2032-11-26,152991,CT14 0LT,2,100%,COLD,SPN-S000000008304,BETTESHANGER LOCAL 33/11KV,Primary Substation,33,"51.2282942287575, 1.34369028190535",OFF CIRCULAR ROAD,\N,67.7,254.8,210.0,275.8,BETTESHANGER,"18, 18","24, 24",fruits.rinses.episode
,,Leatherhead 132kV,,,,,,,,,,,,No,0.0,0.24220799999999998,0.0,0.0,0.0,,,14.4,,,,,,15.0,14.757792,West Weybridge SGT,,,,6.62,7.58,,,0.24220799999999998,0.0,0.24220799999999998,,15.0,20.0,15.0,20.0,,,,,,,,,,,,,,2019-03-07,360.0,660.0,0.99Ω 0.00Deg,Surrey,1948-04-01,519275,TQ1927559317,0.0,ELP02013004-R01,South Eastern Power Networks (SPN),Mole Valley,E07000210,8.1,12.1,364.26,0.07,138.53,2035-11-26,159317,KT21 1NT,2,100%,COLD,SPN-S000000008311,ASHTEAD  11KV,Primary Substation,33,"51.3204638804324, -0.289752567928744",CRADDOCKS AVENUE,\N,0.0,0.0,0.0,0.0,ASHTEAD,"15, 15","20, 20",blaze.snow.corner
,,Medway Grid 33kV,,,,,,,,,,,,No,0.0,0.6671999999999999,0.8510495999999999,0.0,0.0,,,31.68,,,,,,18.0,16.4817504,Kingsnorth SGT,,,,12.86,19.87,,,1.5182495999999999,0.0,1.5182495999999999,,18.0,24.0,18.0,24.0,15.0,20.0,,,,,,,,,,,,2015-10-06,240.0,240.0,NA,Kent,1951-04-01,572099,TQ7209958619,0.0,ESL0952007-R01 RD,South Eastern Power Networks (SPN),Tonbridge and Malling,E07000115,19.6,23.3,196.35,\N,59.7,2029-11-26,158619,ME20 7JH,3,100%,HOT,SPN-S000000008312,AYLESFORD 33/6.6KV,Primary Substation,33,"51.3006804902293, 0.467312962378983",STATION ROAD,\N,0.0,0.0,0.0,0.0,AYLESFORD,"18, 18, 15","24, 24, 20",skyrocket.unsigned.correct
,,Croydon Grid 132kV,,,,,,,,,,,,No,0.0,0.048,4.253184000000001,0.0,0.0,,,28.8,,,,,,30.0,25.698816,Beddington SGT,,,,13.06,13.73,,,4.301184000000001,0.0,4.301184000000001,,30.0,40.0,30.0,39.0,,,,,,,,,,,,,,2022-04-13,480.0,720.0,1.22Ω 0.00Deg,Surrey,1959-04-01,531486,TQ3148665906,0.0,ELP07262009-R01,South Eastern Power Networks (SPN),Croydon,E09000008,16.4,24.7,403.34,0.09,121.64,2038-11-26,165906,CR0 3RL,2,100%,HOT,SPN-S000000008314,CROYDON A 6.6KV,Primary Substation,33,"51.3769894270233, -0.112186085977346",FACTORY LANE,\N,0.0,0.0,0.0,0.0,CROYDON,"30, 30","40, 39",waddled.elaborate.snaps
,,Leigh Grid 33kV,,,,,,,,,,,,No,0.0,0.0,0.06216,0.0,0.0,,,5.76,,,,,,5.0,4.93784,Bolney SGT,,,,0.86,-0.29,,,0.06216,0.0,0.06216,,6.0,8.0,6.0,7.0,,,,,,,,,,,,,,2019-05-24,1100.0,1104.0,4.50Ω 0.00Deg,Surrey,1946-04-01,520730,TQ2073050451,0.0,ELP02013013-R01,South Eastern Power Networks (SPN),Mole Valley,E07000210,5.1,7.3,636.07,0.13,-18.0,2035-11-26,150451,RH3 7LJ,2,5MVA,COLD,SPN-S000000008316,BETCHWORTH 33/11,Primary Substation,33,"51.2404722805015, -0.271876010708419",KILN LANE,\N,176.8,776.8,670.3,837.9,BETCHWORTH,"6, 6","8, 7",bulb.basin.gravel
,,Ninfield Grid 33kV,,,,,,,,,,,,No,3.282051282051274,0.0,0.0624,0.0,3.7720000000000002,,,19.2,,,,,,20.0,16.1656,Ninfield SGT,,,,8.93,6.43,,,0.0624,3.7720000000000002,3.8344,,20.0,24.0,20.0,24.0,,,,,,,,,,,,,,2010-06-25,720.0,720.0,0.16Ω 0.00Deg,East Sussex,1957-04-01,575316,TQ7531607684,3.9,P-10-696-42,South Eastern Power Networks (SPN),Rother,E07000064,10.7,17.3,387.81,\N,90.22,2040-11-22,107684,TN40 1SF,2,100%,HOT,SPN-S000000008317,BEXHILL TOWN,Primary Substation,33,"50.8421223599025, 0.488736508959372",ASHFORD ROAD,\N,95.8,467.0,336.7,490.7,BEXHILL,"20, 20","24, 24",dining.save.reduce
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,19.2,,,,,,20.0,20.0,,,,,11.62,11.42,,,0.0,0.0,0.0,,20.0,24.0,20.0,24.0,,,,,,,,,,,,,,2022-01-25,0.0,0.0,0.19Ω 23.91Deg,Kent,1937-04-01,541734,TQ4173459604,0.0,ELP07262003-R01,South Eastern Power Networks (SPN),Bromley,E09000006,7.9,12.1,0.0,0.26,0.0,2038-11-26,159604,TN16 3EA,2,100%,HOT,SPN-S000000008322,BIGGIN HILL 33KV,Primary Substation,33,"51.3178958672932, 0.0324546277819278",MAIN ROAD,\N,0.0,0.0,0.0,0.0,ORPINGTON,"20, 20","24, 24",sling.holds.flesh
,,Kingston Grid 33kV,,,,,,,,,,,,Yes,185.7142857142857,0.1584,0.0528,0.0,3.0,,,51.84,,,,,,15.22,12.0088,Chessington,,,,20.35,31.2,,,0.2112,3.0,3.2112,,18.0,24.0,18.0,24.0,18.0,24.0,18.0,24.0,,,,,,,,,,2018-04-17,240.0,600.0,0.16Ω 0.00Deg,Surrey,1972-04-01,517902,TQ1790269667,1.05,ELP0062008-R01,South Eastern Power Networks (SPN),Kingston upon Thames,E09000021,32.8,39.5,218.44,0.04,74.63,2034-11-26,169667,KT2 5UT,4,"15.22MVA, 100%",COLD,SPN-S000000008325,KINGSTON 33/11KV,Primary Substation,33,"51.4137729656541, -0.30601715065195",SKERNE ROAD,\N,0.0,0.0,0.0,0.0,KINGSTON-UPON-THAMES,"18, 18, 18, 18","24, 24, 24, 24",reply.rare.scare
,,Chelsfield Grid 33kV,,,,,,,,,,,,No,0.0,0.14784,0.31326719999999997,0.0,0.0,,,19.2,,,,,,20.0,19.5388928,Northfleet SGT,,,,12.67,12.67,,,0.46110719999999994,0.0,0.46110719999999994,,20.0,24.0,20.0,24.0,,,,,,,,,,,,,,2021-06-01,0.0,0.0,1.11Ω 0.00Deg,Surrey,1951-04-01,539941,TQ3994152590,0.0,ELP05286006-R01,South Eastern Power Networks (SPN),Tandridge,E07000215,6.8,10.8,0.0,0.19,0.0,2037-11-26,152590,RH8 0ER,2,100%,COLD,SPN-S000000008326,OXTED 33KV,Primary Substation,33,"51.2553095557153, 0.0039968438106412",LIMPSFIELD,\N,0.0,0.0,0.0,0.0,OXTED,"20, 20","24, 24",slide.clocks.upper
,,Lewes Grid 33kV,,,,,,,,,,,,No,0.0,0.105072,1.008,0.0,0.0,,,17.28,,,,,,18.0,16.886928,Bolney SGT,,,,10.18,11.71,,,1.113072,0.0,1.113072,,18.0,24.0,18.0,24.0,,,,,,,,,,,,,,2023-05-09,1100.0,1104.0,1.40Ω 0.00Deg,East Sussex,1935-04-01,542270,TQ4227011175,0.0,ELP09358008,South Eastern Power Networks (SPN),Lewes,E07000063,7.4,11.8,636.07,0.09,-18.0,2039-11-26,111175,BN7 2RU,2,100%,COLD,SPN-S000000008330,LEWES TOWN,Primary Substation,33,"50.8825583538958, 0.0210708356247149",EAST OF NO45 MILL ROAD,\N,176.8,776.8,670.3,837.9,LEWES,"18, 18","24, 24",broadcast.enlighten.cabinets
,,Byfleet Grid 33kV,,,,,,,,,,,,No,0.0,0.14592,0.28824,0.0,0.0,,,28.8,,,,,,30.0,29.56584,West Weybridge SGT,,,,13.63,17.66,,,0.43416,0.0,0.43416,,30.0,40.0,30.0,40.0,,,,,,,,,,,,,,2018-07-23,360.0,660.0,1.35Ω 0.00Deg,Surrey,1955-04-01,496663,SU9666357620,0.0,ELP0062016-R01,South Eastern Power Networks (SPN),Woking,E07000217,15.8,21.6,364.26,0.08,138.53,2034-11-26,157620,GU21 8XG,2,100%,COLD,SPN-S000000008331,BROOKWOOD 33/11,Primary Substation,33,"51.3094967110331, -0.614587492612515",GUILDFORD ROAD,\N,0.0,0.0,0.0,0.0,GUILFORD,"30, 30","40, 40",speeds.horses.inches
,,Purley Grid 33kV,,,,,,,,,,,,Yes,95.29411764705881,0.0,0.048,0.0,0.0,,,34.56,,,,,,10.0,9.952,Beddington SGT,,,,14.59,20.35,,,0.048,0.0,0.048,,20.0,27.0,18.0,24.0,18.0,24.0,,,,,,,,,,,,2015-10-21,480.0,720.0,NA,Surrey,1958-04-01,531596,TQ3159661807,1.02,ESL0952012-R01,South Eastern Power Networks (SPN),Croydon,E09000008,20.8,26.8,403.34,0.16,121.64,2026-11-26,161807,CR8 2AA,3,"<100%, 100%",HOT,SPN-S000000008341,PURLEY 11KV,Primary Substation,33,"51.3401270967876, -0.112121674562762",WHYTECLIFFE ROAD,\N,0.0,0.0,0.0,0.0,PURLEY,"20, 18, 18","27, 24, 24",hang.zoom.sheet
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,10.56,,,,,,5.5,5.5,,,,,2.69,6.91,,,0.0,0.0,0.0,,11.0,15.0,11.0,15.0,,,,,,,,,,,,,,2023-10-13,0.0,0.0,3.02Ω 0.00Deg,East Sussex,1934-04-01,549400,TQ4940023168,0.0,ELP09358015-R01,South Eastern Power Networks (SPN),Wealden,E07000065,8.2,7.8,0.0,0.38,0.0,2039-11-26,123168,TN22 4DP,2,<100%,HOT,SPN-S000000008345,BUXTED 33/11KV,Primary Substation,33,"50.9885312327246, 0.127267371740544",MARESFIELD ROAD,\N,0.0,0.0,0.0,0.0,BUXTED,"11, 11","15, 15",anguished.bonnet.feuds
,,Worthing Grid B 33kV,,,,,,,,,,,,Yes,5.022831050228302,0.7603200000000001,1.0655999999999999,0.0,10.4,,,48.96,,,,,,12.67,0.4440799999999996,Bolney SGT,,,,24.19,35.42,,,1.82592,10.4,12.22592,,17.0,23.0,17.0,23.0,17.0,23.0,17.0,23.0,,,,,,,,,,2017-06-07,1100.0,1104.0,0.91Ω 0.00Deg,West Sussex,1964-04-01,515181,TQ1518103146,10.95,ESL1991018-R01,South Eastern Power Networks (SPN),Worthing,E07000229,25.8,32.1,636.07,0.06,-18.0,2031-11-26,103146,BN11 2BY,4,"13.81MVA,  16.37MVA,  12.67MVA",COLD,SPN-S000000008354,WORTHING TOWN 33KV,Primary Substation,33,"50.8164174514942, -0.366348944137833",OPP WORTHING HOSPITAL,\N,176.8,776.8,670.3,837.9,WORTHING,"17, 17, 17, 17","23, 23, 23, 23",lung.occurs.areas
,,Leigh Grid 33kV,,The forecasted load is anticipated to exceed the circuit's capacity. Proactive measures are taken to ensure the network can accommodate the expected load.,2025,Winter,Flexibility dispatch,14398.0,Flexibility,We were able to procure flexibility to fulfill all our requirements in the tendered period through our Autumn 2024 flexibility tender. We will use flexibility to manage the constraint.,Flexibility,Flexibility,Flexibility,Yes,5.172413793103434,0.096,0.591552,0.0,1.1,,,7.68,>100%,>100%,>100%,\N,\N,8.0,6.212448,Bolney SGT,,,Single site,1.44,-0.67,Capel Switching Station,,0.6875519999999999,1.1,1.787552,In order to increase capacity at the site the traditional solution is to replace overhead lines with extra high voltage cables.,8.0,10.0,8.0,9.0,,,,,,,,,,,,,Demand,2016-05-16,1100.0,1104.0,0.41Ω 0.00Deg,Surrey,1945-04-01,517615,TQ1761541365,1.16,ESL1520009-R01,South Eastern Power Networks (SPN),Mole Valley,E07000210,6.5,9.7,636.07,0.14,-18.0,2035-11-26,141365,RH5 5LE,2,100%,HOT,SPN-S000000008356,CAPEL 33/11KV,Primary Substation,33,"51.1594569320356, -0.319453087918898",SEAMANS GREEN,\N,176.8,776.8,670.3,837.9,CAPEL,"8, 8","10, 9",snow.system.slang
,,Hartley Grid 33kV,,,,,,,,,,,,Yes,68.96864,0.19776,1.6641215999999999,0.0,0.0,,,10.56,,,,,,18.0,16.1381184,Ninfield SGT,,,,3.65,5.47,,,1.8618815999999998,0.0,1.8618815999999998,,18.0,24.0,11.0,15.0,,,,,,,,,,,,,,2010-05-24,720.0,720.0,NA,Kent,1950-04-01,575827,TQ7582731042,6.0,P-10-696-36,South Eastern Power Networks (SPN),Tunbridge Wells,E07000116,7.2,9.3,387.81,0.09,90.22,2027-11-26,131042,TN18 5EE,2,100%,COLD,SPN-S000000008363,HAWKHURST 33KV,Primary Substation,33,"51.0518096700857, 0.507255686634157",CRANBROOK ROAD,\N,95.8,467.0,336.7,490.7,HAWKHURST,"18, 11","24, 15",dented.universes.game
,,Hartley Grid 33kV,,,,,,,,,,,,No,0.0,0.0,0.0670464,0.0,0.0,,,9.6,,,,,,10.0,9.9329536,Ninfield SGT,,,,3.65,5.38,,,0.0670464,0.0,0.0670464,,10.0,13.0,10.0,13.0,,,,,,,,,,,,,,2008-12-04,720.0,720.0,NA,Kent,1935-04-01,582827,TQ8282744369,0.0,P-08-502-20,South Eastern Power Networks (SPN),Maidstone,E07000110,6.2,7.4,387.81,0.13,90.22,2027-11-26,144369,TN27 9QY,2,100%,HOT,SPN-S000000008365,HEADCORN 33/6.6KV,Primary Substation,33,"51.1693386780882, 0.613768125016",HEADCORN,\N,95.8,467.0,336.7,490.7,MAIDSTONE,"10, 10","13, 13",autumn.hologram.plodding
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,34.56,,,,,,20.0,20.0,,,,,18.05,19.78,,,0.0,0.0,0.0,,20.0,27.0,18.0,24.0,18.0,24.0,,,,,,,,,,,,2011-08-01,0.0,0.0,0.08Ω 0.00Deg,Kent,1948-04-01,546762,TQ4676267365,0.0,P-11-1127,South Eastern Power Networks (SPN),Bromley,E09000006,17.2,27.4,0.0,\N,0.0,2026-11-26,167365,BR5 4AA,3,100%,COLD,SPN-S000000008367,ORPINGTON 33/11KV,Primary Substation,33,"51.3863595393719, 0.107751845567124",ST MARY CRAY,\N,0.0,0.0,0.0,0.0,ORPINGTON,"20, 18, 18","27, 24, 24",learn.dawn.towers
,,Sheerness Grid 33kV,,,,,,,,,,,,No,4.761904761904765,0.192,0.0,0.0,1.0,,,16.32,,,,,,13.81,12.618,Kemsley SGT,,,,10.56,16.03,,,0.192,1.0,1.192,,17.0,23.0,17.0,23.0,,,,,,,,,,,,,,2013-04-12,0.0,0.0,0.05Ω 0.00Deg,Kent,1977-04-01,591147,TQ9114771887,1.05,P-13-2453-01,South Eastern Power Networks (SPN),Swale,E07000113,6,6.3,0.0,\N,0.0,2029-11-26,171887,ME11 5HL,2,13.81MVA,COLD,SPN-S000000008368,QUEENBOROUGH 33/6.6KV,Primary Substation,33,"51.4137737819941, 0.747353832229567",QUEENBOROUGH,\N,0.0,0.0,0.0,0.0,ISLE OF SHEPPEY,"17, 17","23, 23",soils.blanks.ironclad
,,Leigh Grid 33kV,,,,,,,,,,,,Yes,5.000000000000004,0.48,0.048,0.0,1.9,,,36.48,,,,,,20.0,17.572,Bolney SGT,,,,19.2,22.08,,,0.528,1.9,2.428,,20.0,25.0,20.0,25.0,18.0,23.0,,,,,,,,,,,,2019-08-23,1100.0,1104.0,NA,Surrey,1949-04-01,526755,TQ2675550565,2.0,ELP02013023-R01,South Eastern Power Networks (SPN),Reigate and Banstead,E07000211,18,25,636.07,0.29,-18.0,2035-11-26,150565,RH2 0JT,3,100%,HOT,SPN-S000000008369,REIGATE 'A' 33/11KV,Primary Substation,33,"51.2401912796508, -0.185570410597924",WRAY COMMON,\N,176.8,776.8,670.3,837.9,REIGATE,"20, 20, 18","25, 25, 23",crash.magic.puzzle
,,Bolney Grid 33kV,,,,,,,,,,,,No,0.0,0.144,0.096,0.0,0.0,,,9.6,,,,,,10.0,9.76,Bolney SGT,,,,3.46,2.78,,,0.24,0.0,0.24,,10.0,13.0,10.0,13.0,,,,,,,,,,,,,,1999-01-15,1100.0,1104.0,0.13Ω 0.00Deg,West Sussex,1932-04-01,523575,TQ2357522613,0.0,S9701,South Eastern Power Networks (SPN),Mid Sussex,E07000228,6.4,10.1,636.07,0.13,-18.0,2025-11-26,122613,RH13 8AP,2,100%,HOT,SPN-S000000008380,COWFOLD 33KV,Primary Substation,33,"50.989661506499, -0.240669166666228",LEFT HAND SIDE,AFTER WINEHAM LANE,176.8,776.8,670.3,837.9,COWFOLD,"10, 10","13, 13",moderated.stuffing.ushering
,,Leigh Grid 33kV,,,,,,,,,,,,No,4.761904761904765,0.33696000000000004,0.592704,0.0,1.2,,,16.32,,,,,,4.0,1.870336,Bolney SGT,,,,4.32,5.18,,,0.929664,1.2,2.129664,,17.0,23.0,17.0,23.0,,,,,,,,,,,,,,2019-06-12,1100.0,1104.0,6.85Ω 0.00Deg,Surrey,1933-04-01,504727,TQ0472740158,1.26,ELP02013016-R01,South Eastern Power Networks (SPN),Waverley,E07000216,12.5,17.6,636.07,0.07,-18.0,2035-11-26,140158,GU6 8PT,2,4MVA,COLD,SPN-S000000008382,CRANLEIGH 33/11,Primary Substation,33,"51.1511090372096, -0.504034443005657",GUILDFORD ROAD,\N,176.8,776.8,670.3,837.9,CRANLEIGH,"17, 17","23, 23",pressing.sleepers.overlook
,,Three Bridges Local 33kV,,,,,,,,,,,,No,0.0,0.92064,0.20351999999999998,0.0,0.0,,,28.8,,,,,,18.0,16.87584,Bolney SGT,,,,9.02,18.34,,,1.12416,0.0,1.12416,,18.0,23.0,15.0,20.0,15.0,20.0,,,,,,,,,,,,2014-02-11,1100.0,1104.0,0.08Ω 0.00Deg,West Sussex,1963-04-01,528184,TQ2818438945,0.0,P-11-1063,South Eastern Power Networks (SPN),Crawley,E07000226,20.6,20.9,636.07,\N,-18.0,2025-11-26,138945,RH10 9JU,3,100%,COLD,SPN-S000000008383,CRAWLEY INDUSTRIAL EAST 33/11KV,Primary Substation,33,"51.1354393754552, -0.169253596536083",MANOR ROYAL IND EST,\N,176.8,776.8,670.3,837.9,CRAWLEY,"18, 15, 15","23, 20, 20",dame.bugs.trucks
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,7.68,,,,,,8.0,8.0,,,,,4.42,10.66,,,0.0,0.0,0.0,,8.0,15.0,,,,,,,,,,,,,,,,2011-11-28,0.0,0.0,NA,East Sussex,1935-04-01,553191,TQ5319131958,0.0,P-11-1314,South Eastern Power Networks (SPN),Wealden,E07000065,3.4,3.9,0.0,0.39,0.0,2027-11-26,131958,TN6 2XA,1,100%,HOT,SPN-S000000008387,STEEL CROSS 33/6.6KV,Primary Substation,33,"51.0665196510291, 0.18495133236248",STEEL CROSS,\N,0.0,0.0,0.0,0.0,ROTHERFIELD,8,15,lobbed.erupt.umbrellas
,,Betteshanger Grid 33kV,,,,,,,,,,,,No,0.0,0.1214784,0.0,0.0,0.0,,,19.2,,,,,,20.0,19.8785216,Sellindge SGT2 & 3 & Richborough SGT,,,,11.9,13.73,,,0.1214784,0.0,0.1214784,,20.0,24.0,20.0,24.0,,,,,,,,,,,,,,2010-05-07,240.0,240.0,NA,Kent,1955-04-01,636769,TR3676952909,0.0,P-10-696-17,South Eastern Power Networks (SPN),Dover,E07000108,7.6,9.7,175.86,0.11,62.19,2032-11-26,152909,CT14 9LX,2,100%,COLD,SPN-S000000008389,DEAL PRIMARY 33/11KV,Primary Substation,33,"51.2262318050508, 1.38969856355954",SOUTHWALL ROAD,\N,67.7,254.8,210.0,275.8,DEAL,"20, 20","24, 24",duty.hope.city
,,Folkestone Grid 33kV,,,,,,,,,,,,No,4.988123515439429,0.48,0.8102400000000001,0.0,8.0,,,42.24,,,,,,20.0,10.70976,Sellindge SGT2 & 3 & Richborough SGT,,,,19.87,13.73,,,1.29024,8.0,9.29024,,20.0,24.0,20.0,24.0,12.0,14.0,12.0,14.0,,,,,,,,,,2011-07-28,240.0,240.0,NA,Kent,1932-04-01,631765,TR3176541865,8.42,P-11-993-02,South Eastern Power Networks (SPN),Dover,E07000108,23.3,37.7,175.86,0.23,62.19,2028-11-26,141865,CT16 1RH,4,100%,HOT,SPN-S000000008391,DOVER PRIMARY 33/11KV,Primary Substation,33,"51.1291430170208, 1.31104348609471",PARK STREET,\N,67.7,254.8,210.0,275.8,DOVER,"20, 20, 12, 12","24, 24, 14, 14",famed.paying.gasp
